"key","updateAuthority","mint","data.name","data.symbol","data.uri","data.sellerFeeBasisPoints","data.creators","primarySaleHappened","isMutable","editionNonce","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.animation_url","metaResult.external_url","metaResult.attributes","metaResult.collection.name","metaResult.collection.family","metaResult.properties.files","metaResult.properties.category","metaResult.properties.creators"
4,"5FzddvKbxE54KEg2WoeNiGWJYAUBabKVFg2MVCSacWiJ","EEr5yQpNXf7Bru6Rt5podx56HGW9CEehXqgRGh2wa71w","Vox Punks Club #966","","https://arweave.net/_Y8tETU3FbAFZSM1wXNeWPweWwrW9K6oSF1SYi_bH9A",500,"[{""address"":""HuAiZg55P557gdjr5jkq79YdMe9sbdHuPj5UN21XuSyK"",""verified"":1,""share"":0},{""address"":""5FzddvKbxE54KEg2WoeNiGWJYAUBabKVFg2MVCSacWiJ"",""verified"":1,""share"":100}]",1,1,,"Vox Punks Club #966","","VoxPunksClub are Voxel based 3D NFTs interactable and part of metaverse.",500,"https://www.arweave.net/LI_-zDDru3FHIQBPDtRIbFMmoRy5FqudT2l5B5sK7ls?ext=png","","https://voxpunksclub.com/nft/gen1/966","[{""trait_type"":""Type"",""value"":""Ape Radioactive""},{""trait_type"":""Eyes"",""value"":""Eyepatch""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Head"",""value"":""Halo Ring""}]","VoxPunksClub Genesis","VoxPunksClub","[{""uri"":""https://www.arweave.net/LI_-zDDru3FHIQBPDtRIbFMmoRy5FqudT2l5B5sK7ls?ext=png"",""type"":""image/png""}]","image","[{""address"":""5FzddvKbxE54KEg2WoeNiGWJYAUBabKVFg2MVCSacWiJ"",""share"":100}]"
4,"5FzddvKbxE54KEg2WoeNiGWJYAUBabKVFg2MVCSacWiJ","PFmjRgMTZYvvM8k6rWGHKemhkUFciYbB8ybEyJ3rqHy","Vox Punks Club #461","","https://arweave.net/PkWfn1JAomvlItC57Fv1FchcJ4mMNUOQsY6HG_yF6XA",500,"[{""address"":""HuAiZg55P557gdjr5jkq79YdMe9sbdHuPj5UN21XuSyK"",""verified"":1,""share"":0},{""address"":""5FzddvKbxE54KEg2WoeNiGWJYAUBabKVFg2MVCSacWiJ"",""verified"":1,""share"":100}]",1,1,,"Vox Punks Club #461","","VoxPunksClub are Voxel based 3D NFTs interactable and part of metaverse.",500,"https://www.arweave.net/7DByWyB828BNd189HtsduSpZpEERPbaKD7lFscSV9xA?ext=png","","https://voxpunksclub.com/nft/gen1/461","[{""trait_type"":""Type"",""value"":""Ape Brown""},{""trait_type"":""Eyes"",""value"":""None""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Head"",""value"":""Bandana Green""}]","VoxPunksClub Genesis","VoxPunksClub","[{""uri"":""https://www.arweave.net/7DByWyB828BNd189HtsduSpZpEERPbaKD7lFscSV9xA?ext=png"",""type"":""image/png""}]","image","[{""address"":""5FzddvKbxE54KEg2WoeNiGWJYAUBabKVFg2MVCSacWiJ"",""share"":100}]"
4,"9bJNTytrMHPps58zH5tk3jsaMbQjD1W13ri7D431QcJt","GXMeGFDnAwf5uC4uwjrBJAdb3wsHBd8KMc7FmnuDy6Td","SolDad #1715","SOLDAD","https://arweave.net/PqLSdcyizhUTrNHzVMA8JD86CsqUPZWpZYcuPq3KR74",750,"[{""address"":""5GUrnehPCrVeAeo29sgH3KbPhTvEDaH8HJqonYUceVM"",""verified"":1,""share"":0},{""address"":""ULf4AWYjQ7iD81dYsFTNryyJvXX3yNeCN72KsbKDu3W"",""verified"":0,""share"":100}]",1,1,,"SolDad #1715","SOLDAD","SolDads are the first unique collection with 5750 dads of more generic project which is named SolFamily. You can read more information on our website https://solfamily.io/",750,"https://www.arweave.net/RosdTJwmIb8aybTtzgPO4KkuqZMZnxU-xswIYCkKu9w?ext=png",,,"[{""trait_type"":""Background"",""value"":""Fountain Blue""},{""trait_type"":""Face"",""value"":""Bored"",""additionalValue"":""light""},{""trait_type"":""Outfit"",""value"":""Green Long Sleeve""},{""trait_type"":""Beard"",""value"":""Green Zappa""},{""trait_type"":""Head"",""value"":""Pink Helmet""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Ears"",""value"":""None""},{""trait_type"":""Neck"",""value"":""Golden Chain""},{""trait_type"":""Eyes"",""value"":""Black Office Glasses""}]","SolDads","SolFamily","[{""url"":""https://www.arweave.net/RosdTJwmIb8aybTtzgPO4KkuqZMZnxU-xswIYCkKu9w?ext=png"",""type"":""image/png""}]","image","[{""address"":""ULf4AWYjQ7iD81dYsFTNryyJvXX3yNeCN72KsbKDu3W"",""share"":100}]"
4,"BnZNCQz3Zqb1o4nrjW3zNGbWdKubSTw7mAU5NGYouJMF","BMQniBDV3Km4AbWK3fDaiRMaiS4NBb1TLHtyLnWbY2ua","Sol Slug - 01884","SLUG","https://arweave.net/_diztqP2D1oyiyhFDtLIfed8ODBornIjeOP98Om9JCY",500,"[{""address"":""CeYRttSvWZ6SP4QWK4CxVc4GbWtC7eJmvgqv86zLnGQ8"",""verified"":1,""share"":0},{""address"":""9uJRearTP2fdsFp3Sa4w8MGXoqci59SBErGZqJXaqPqa"",""verified"":1,""share"":30},{""address"":""DUbboetUV5A3H9WUHk6d2mHg4hyX1hEnAfvjEMcSvoHb"",""verified"":1,""share"":30},{""address"":""C5kegRb9XMcEEp19mUdzLKrLqmRbv98kY8YUqvMWq1Bo"",""verified"":1,""share"":30},{""address"":""BnZNCQz3Zqb1o4nrjW3zNGbWdKubSTw7mAU5NGYouJMF"",""verified"":1,""share"":10}]",1,1,,"Sol Slug - 01884","SLUG","Sol Slug - 01884 of 10,000 badass original slugs on the Solana blockchain.",500,"https://www.arweave.net/fj0peULpqZIpJhHKcv7FHYFHCXkEbYxWAZOe-03ness?ext=png",,"https://solslugs.com","[{""trait_type"":""Background"",""value"":""Mushrooms""},{""trait_type"":""Slug"",""value"":""Red""},{""trait_type"":""Chest"",""value"":""Sweater""},{""trait_type"":""Mouth"",""value"":""Chomp""},{""trait_type"":""Head"",""value"":""Hooded""},{""trait_type"":""Eyes"",""value"":""Default""},{""trait_type"":""Tail"",""value"":""Boot""},{""trait_type"":""Back"",""value"":""None""},{""trait_type"":""Hands"",""value"":""Turtle Hands""}]","Generation 1","Sol Slugs","[{""uri"":""https://www.arweave.net/fj0peULpqZIpJhHKcv7FHYFHCXkEbYxWAZOe-03ness?ext=png"",""type"":""image/png""}]","image","[{""address"":""9uJRearTP2fdsFp3Sa4w8MGXoqci59SBErGZqJXaqPqa"",""share"":30},{""address"":""DUbboetUV5A3H9WUHk6d2mHg4hyX1hEnAfvjEMcSvoHb"",""share"":30},{""address"":""C5kegRb9XMcEEp19mUdzLKrLqmRbv98kY8YUqvMWq1Bo"",""share"":30},{""address"":""BnZNCQz3Zqb1o4nrjW3zNGbWdKubSTw7mAU5NGYouJMF"",""share"":10}]"
4,"CzFuahYZf5rsakiNiLSUXTwuXHQFCdx7hwRMWBem3hNN","GYnqJEK9qCLQPqt2znXm6MS3sMGcfb1XLfFRUbh9uVnM","Soul 91","","https://arweave.net/gaRZWHVLv8GP3DeiDOY3fm_zkrkzOBJ0vmee-Ng9r4k",500,"[{""address"":""HJChRfbn2h7a2XK7WtUMLj467iMUJ21EhzNZ5QU82saN"",""verified"":1,""share"":0},{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""verified"":0,""share"":100}]",1,1,,"Soul 91","","This is soul 91. One of the 10,000 soul avatars available!",500,"https://www.arweave.net/mcVVGB4YNGCF-NJLzfgdd8opJrrpS5YwrWCcB2VN5wI?ext=png",,"","[{""trait_type"":""Background"",""value"":""29""},{""trait_type"":""Body"",""value"":""34""},{""trait_type"":""Clothing"",""value"":""Blank""},{""trait_type"":""Eyes"",""value"":""Eyes 19""},{""trait_type"":""Mouth"",""value"":""Smirk""},{""trait_type"":""Headwear"",""value"":""Army Helmet""},{""trait_type"":""Accessory"",""value"":""Blank""},{""trait_type"":""WeaponR"",""value"":""Fly Swatter""},{""trait_type"":""WeaponL"",""value"":""Blank""}]","Sinful Souls","Sinful Souls","[{""uri"":""https://www.arweave.net/mcVVGB4YNGCF-NJLzfgdd8opJrrpS5YwrWCcB2VN5wI?ext=png"",""type"":""image/png""}]","image","[{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""share"":100}]"
4,"CzFuahYZf5rsakiNiLSUXTwuXHQFCdx7hwRMWBem3hNN","Afx3bYC8UjKStEe9RWsax1RNG8rbTha4oZ3TZV1CFk8K","Soul 2359","","https://arweave.net/t3CGMxGUwtjB-Zl6qGkblzZs6CLB-zLCUEP_oco5CEs",500,"[{""address"":""Eng8FDVHPnAWfXpf14agbdu6Q8eSLHnvcLoB44Ua4jTc"",""verified"":1,""share"":0},{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""verified"":0,""share"":100}]",1,1,,"Soul 2359","","This is soul 2359. One of the 10,000 soul avatars available!",500,"https://www.arweave.net/ZLY69w5anbcsff4U0q1en4gKTYFBody47eow6UIzwlQ?ext=png",,"","[{""trait_type"":""Background"",""value"":""3""},{""trait_type"":""Body"",""value"":""28""},{""trait_type"":""Clothing"",""value"":""Straps and Bag""},{""trait_type"":""Eyes"",""value"":""Eyes 4""},{""trait_type"":""Mouth"",""value"":""Bahumbug""},{""trait_type"":""Headwear"",""value"":""Blank""},{""trait_type"":""Accessory"",""value"":""Blank""},{""trait_type"":""WeaponR"",""value"":""Bone""},{""trait_type"":""WeaponL"",""value"":""Blank""}]","Sinful Souls","Sinful Souls","[{""uri"":""https://www.arweave.net/ZLY69w5anbcsff4U0q1en4gKTYFBody47eow6UIzwlQ?ext=png"",""type"":""image/png""}]","image","[{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""share"":100}]"
4,"CzFuahYZf5rsakiNiLSUXTwuXHQFCdx7hwRMWBem3hNN","3mVEER8G8uaEMGi1AzH3SmiY8nTy7hwqYeBStbx5jn5K","Soul 2387","","https://arweave.net/o5MwGZ3K79qlGokoInBpgXwhUELZCV4QC-8Ttbbt1lI",500,"[{""address"":""Eng8FDVHPnAWfXpf14agbdu6Q8eSLHnvcLoB44Ua4jTc"",""verified"":1,""share"":0},{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""verified"":0,""share"":100}]",1,1,,"Soul 2387","","This is soul 2387. One of the 10,000 soul avatars available!",500,"https://www.arweave.net/60EfFRBDGj08RaPzq9C94T-gFUG9QyfxNTMMy1x4LK8?ext=png",,"","[{""trait_type"":""Background"",""value"":""31""},{""trait_type"":""Body"",""value"":""15""},{""trait_type"":""Clothing"",""value"":""General Uniform""},{""trait_type"":""Eyes"",""value"":""Eyes 8""},{""trait_type"":""Mouth"",""value"":""Hmm""},{""trait_type"":""Headwear"",""value"":""Shell""},{""trait_type"":""Accessory"",""value"":""Blank""},{""trait_type"":""WeaponR"",""value"":""Fly Swatter""},{""trait_type"":""WeaponL"",""value"":""Knife""}]","Sinful Souls","Sinful Souls","[{""uri"":""https://www.arweave.net/60EfFRBDGj08RaPzq9C94T-gFUG9QyfxNTMMy1x4LK8?ext=png"",""type"":""image/png""}]","image","[{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""share"":100}]"
4,"CzFuahYZf5rsakiNiLSUXTwuXHQFCdx7hwRMWBem3hNN","8aaSoLHdcBDRBSDjPJoTwBZkCYj9AEDJcM3atPYewMq1","Soul 2386","","https://arweave.net/-WHYcp7VnEsZRiIuXjwfU3_u2oLAeBtfD5Hx_QnBEhA",500,"[{""address"":""Eng8FDVHPnAWfXpf14agbdu6Q8eSLHnvcLoB44Ua4jTc"",""verified"":1,""share"":0},{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""verified"":0,""share"":100}]",1,1,,"Soul 2386","","This is soul 2386. One of the 10,000 soul avatars available!",500,"https://www.arweave.net/9wsIyPNGQm_CQt3rQBarGoh78tjG3TvxrPj1ucEzLYY?ext=png",,"","[{""trait_type"":""Background"",""value"":""6""},{""trait_type"":""Body"",""value"":""28""},{""trait_type"":""Clothing"",""value"":""Mongolian Armor""},{""trait_type"":""Eyes"",""value"":""Eyes 11""},{""trait_type"":""Mouth"",""value"":""Mustache1""},{""trait_type"":""Headwear"",""value"":""Rabi Hat""},{""trait_type"":""Accessory"",""value"":""Blank""},{""trait_type"":""WeaponR"",""value"":""Bottle""},{""trait_type"":""WeaponL"",""value"":""Blank""}]","Sinful Souls","Sinful Souls","[{""uri"":""https://www.arweave.net/9wsIyPNGQm_CQt3rQBarGoh78tjG3TvxrPj1ucEzLYY?ext=png"",""type"":""image/png""}]","image","[{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""share"":100}]"
4,"FhdcmMy4T8NaVqEqw5UyMvMSRVLRfXcpifkeFydwG1ue","2dav6k3iSJVxpyvcvU1ZUxdn9Z15gd3HxGo8qN7N2MTT","HighStakeRollers #5503","","https://arweave.net/4lLNyS8QF6ifYKuwxr1KjaX078zmHhR-vTrE1jFHDF8",500,"[{""address"":""4dMFGXww53WLQggkoL13WT4Q2KGPQZAXMea3nFDc9c8Q"",""verified"":1,""share"":0},{""address"":""FhdcmMy4T8NaVqEqw5UyMvMSRVLRfXcpifkeFydwG1ue"",""verified"":0,""share"":100}]",1,1,,"HighStakeRollers #5503","","The House of the NFT Gaming",500,"https://www.arweave.net/OHS99putvo7pzpMwRIGjCkJdhF0bF9oV6xxPr968TNs?ext=png",,"https://www.highstakerollers.com/","[{""trait_type"":""slot0"",""value"":""18""},{""trait_type"":""slot1"",""value"":""11""},{""trait_type"":""slot2"",""value"":""18""}]",,,"[{""uri"":""https://www.arweave.net/OHS99putvo7pzpMwRIGjCkJdhF0bF9oV6xxPr968TNs?ext=png"",""type"":""image/png""}]","image","[{""address"":""FhdcmMy4T8NaVqEqw5UyMvMSRVLRfXcpifkeFydwG1ue"",""verified"":true,""share"":100}]"
4,"G9zy4jGj6ozT3qk9F1qbsAtQ5qvbbF4KwX1CmQRbLmhd","5xsYQ1dughTssMr4T9FbcetFU2eUDoEocNr8XUqNTyGx","Tower Community NFT","TWRCMMNTY","https://arweave.net/uJzgnieykvHvJNe7r4Lxj2PO2K-a_qzqca1O2wmTBbo",500,"[{""address"":""G9zy4jGj6ozT3qk9F1qbsAtQ5qvbbF4KwX1CmQRbLmhd"",""verified"":1,""share"":0},{""address"":""GcrjZXzmNDyGDt646hy4ziWNa5ziGAMNdXGdQcDtnBaV"",""verified"":0,""share"":100}]",1,0,,"Tower Community NFT","TWRCMMNTY","The strength of The Tower comes from its community. Thank you for believing in this community, and participating in the mint. Enjoy this collectible.",500,"https://www.arweave.net/-WwoWhp965cBVUYwFWjGXvygQOsWjTEDYi-3VI0cWlo?ext=png",,"https://towerdao.com/",,,,"[{""uri"":""https://www.arweave.net/-WwoWhp965cBVUYwFWjGXvygQOsWjTEDYi-3VI0cWlo?ext=png"",""type"":""image/png""}]","image","[{""address"":""FHJKrc5MJJQLhj2FqiTfNnvLj59wEmaXVfozmp7JKj2A"",""share"":100}]"
4,"GLR4Vde7aD4DPG8gUnDMXpGEAxgTXFnK1x44nd5m9br9","C8TzXFXd8NvqMn3xb7YMs6xrbv4rmqZVbxhLqm3Uee2T","Toolkit","","https://arweave.net/VficjCTmB_BvRSaR3_UsyD49zV-eLUMI4gZdoyn_Fyc",500,"[{""address"":""2hJVCiRvuWhjbuHrrMXREekuQ7sQYNsfRbM62Ugn9Uzz"",""verified"":1,""share"":0},{""address"":""ULf4AWYjQ7iD81dYsFTNryyJvXX3yNeCN72KsbKDu3W"",""verified"":0,""share"":100}]",1,1,,"Toolkit","","Toolkit is a must have thing when you need to do any Dad house work. But, what if you need to build a house? No worries, toolkit will be able to help with that too! You can read more information on our website https://solfamily.io/",500,"https://arweave.net/Jrzr0gZq1JVJEplDJVPewrNyUHeUQDnPK4zzW3m70dQ?ext=png","https://arweave.net/W-swkKVbx-71RF8jCJKiCnM2Sceqt5Apr-ySX_R1Ad4?ext=mp4","https://solfamily.io/",,"Toolkits","SolFamily","[{""uri"":""https://arweave.net/Jrzr0gZq1JVJEplDJVPewrNyUHeUQDnPK4zzW3m70dQ?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/W-swkKVbx-71RF8jCJKiCnM2Sceqt5Apr-ySX_R1Ad4?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""ULf4AWYjQ7iD81dYsFTNryyJvXX3yNeCN72KsbKDu3W"",""share"":100}]"
4,"GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA","WATErpZ2ZBjgAxyttoEjckuTuCe9pEckSabCeENLTYq","Refined Water Crystal","WATER","https://arweave.net/Bks58hd986Y4L5GeE-2Xp2LjBuGq6S2NO2vF9lMguC0",500,"[{""address"":""GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA"",""verified"":1,""share"":100}]",0,1,,"Refined Water Crystal","WATER","A Genotype Crystal refined at a Habitat Refinery that can be applied to a Genopet to change its Genotype to ""Water"" Type for a limited time. Water Genotype Crystals can also be alchemized with other Genotype Crystals to produce Advanced Crystals, Power-Ups, Augments, Items, and Accessories.",500,"https://arweave.net/KkPmQrTjsW60jedXQ5N0tJjBHLg3NRAuVgw06ZELDfg?ext=gif","https://arweave.net/3-TIYz9SJK1qSUYdyOdiiMIkpwhtDVwhpoQh9gDTSJQ?ext=mp4","https://genopets.me","[{""trait_type"":""Elemental Type"",""value"":""Water""}]","Genotype Crystals","Genopets","[{""uri"":""https://arweave.net/KkPmQrTjsW60jedXQ5N0tJjBHLg3NRAuVgw06ZELDfg?ext=gif"",""type"":""image/gif""},{""uri"":""https://arweave.net/3-TIYz9SJK1qSUYdyOdiiMIkpwhtDVwhpoQh9gDTSJQ?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA"",""share"":100}]"
4,"H9eiJ9Sa6gZVytbMU4JUwzyLvkeBUmL5oguDhx3CUfEE","7pFfMc3WougD7vntz3cFpfU2XLhWivWwP2czUzFvBcsz","Solana Birbs #4288","","https://arweave.net/QSDWLZGhWJXFrgZACuzsJc61aNHgiYoRXTUMzppMGTU",0,"[{""address"":""CUvafyJ61o578PiuLV6CmPzTdP13SPwbVAzBWDC2cMB9"",""verified"":1,""share"":0},{""address"":""H9eiJ9Sa6gZVytbMU4JUwzyLvkeBUmL5oguDhx3CUfEE"",""verified"":0,""share"":100}]",1,1,,"Solana Birbs #4288","",,750,"https://www.arweave.net/SOiKL1ztpSToKBOAoUB7h3AK9qBM8Gyz5LaH5dI1yCg?ext=png",,,"[{""trait_type"":""Background"",""value"":""Yellow""},{""trait_type"":""Body"",""value"":""Dead""},{""trait_type"":""Stand"",""value"":""Wood""},{""trait_type"":""Chest"",""value"":""T-Shirt Black""},{""trait_type"":""Eyes"",""value"":""Stoned""},{""trait_type"":""Earrings"",""value"":""None""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Wing"",""value"":""None""},{""trait_type"":""Beak"",""value"":""Red Short""},{""trait_type"":""Hat"",""value"":""gn""},{""trait_type"":""Wingspan"",""value"":""0cm - 100cm""}]","Solana Birbs","Solana Birbs",,,"[{""address"":""H9eiJ9Sa6gZVytbMU4JUwzyLvkeBUmL5oguDhx3CUfEE"",""share"":100}]"
4,"yeT3ik5jX5RuK8JF8P3RRHrr9g6ox6RMWbRMh3r9FxQ","51Dd17AtVVsp3Dv9VMJEJ5UKLSfrBWHyFHN4n3wZqHz4","Baby Yetis #912","","https://arweave.net/u9XraYnXCGN9MPw2BHkZP9YRPPp0JFsB9HtVyHCvdCU",500,"[{""address"":""64eiSEPv2KRKNkPAX6d4BZQ3b12PcFqZP2yPoNAZw9po"",""verified"":0,""share"":100},{""address"":""yeT3ik5jX5RuK8JF8P3RRHrr9g6ox6RMWbRMh3r9FxQ"",""verified"":1,""share"":0}]",0,1,,"Baby Yetis #912","","Baby Yetis are coming down from the mountains to join the SolYetis.",500,"https://www.arweave.net/l8vljTMYI_inZxYGp1QPdWlh9MUHrFTYQKDcnQNTSjg?ext=png",,,"[{""trait_type"":""Background"",""value"":""Blue stripe""},{""trait_type"":""Skin"",""value"":""Rainbow skin""},{""trait_type"":""Furs"",""value"":""Red fur""},{""trait_type"":""Dress"",""value"":""Spartan""},{""trait_type"":""Chains"",""value"":""Chain with bones""},{""trait_type"":""Mouth"",""value"":""Sleepy mouth""},{""trait_type"":""Eyes"",""value"":""Glowing eyes""},{""trait_type"":""Head wear"",""value"":""Golden laurel wreath""},{""trait_type"":""Glasses"",""value"":""Gold sol eyes""}]","Baby Yetis Season #1","SolYetis OG","[{""uri"":""https://www.arweave.net/l8vljTMYI_inZxYGp1QPdWlh9MUHrFTYQKDcnQNTSjg?ext=png"",""type"":""image/png""}]","image","[{""address"":""64eiSEPv2KRKNkPAX6d4BZQ3b12PcFqZP2yPoNAZw9po"",""share"":100}]"
4,"yeT3ik5jX5RuK8JF8P3RRHrr9g6ox6RMWbRMh3r9FxQ","E8TZyFJR2xcfZSWAQ7mEarhbE1rAJ5hZ4zVAcemKT3j8","SOLYETIS #5433","","https://arweave.net/g-SpW71GOuIqvxIzQvH_8ITKiXYuaZTCDbjArcs01LI",500,"[{""address"":""5MNyU8o4eKnT1oz4u3ckKMBH7pr84MpVf9ZTsBjt4hhS"",""verified"":1,""share"":0},{""address"":""MpuqgieWmABThXfBPzPbwrCyx6MZrVTpBFBK8BzBvYh"",""verified"":0,""share"":50},{""address"":""EozHkXipaBVkXS5ciqvN5CUwWV5bmgLuHp1oeXdPVCvY"",""verified"":0,""share"":25},{""address"":""4ZNYVD4xXVEdSSQHMgjAA4gYn5Y68x5xTJqeuqTCtgGF"",""verified"":0,""share"":25}]",1,1,,"SOLYETIS #5433","","8888 Yetis are coming down from the mountains to form the SolYetis",500,"https://www.arweave.net/wOHAPN9MpQjBXfcs75e7-IBGQoxaanWi9vXcfqLoglE?ext=png",,,"[{""trait_type"":""Backgrounds"",""value"":""Blue""},{""trait_type"":""Skins"",""value"":""Yeti basic skin""},{""trait_type"":""Eyes"",""value"":""Icy blue eyes""},{""trait_type"":""Furs"",""value"":""Normal fur""},{""trait_type"":""Clothes"",""value"":""Roman emperor""},{""trait_type"":""Necklaces"",""value"":""None""},{""trait_type"":""Hats"",""value"":""Ice crown""},{""trait_type"":""Glasses"",""value"":""None""},{""trait_type"":""Mouths"",""value"":""Smoking mouth""}]","SOLYETIS Season #1","SolYetis OG","[{""uri"":""https://www.arweave.net/wOHAPN9MpQjBXfcs75e7-IBGQoxaanWi9vXcfqLoglE?ext=png"",""type"":""image/png""}]","image","[{""address"":""MpuqgieWmABThXfBPzPbwrCyx6MZrVTpBFBK8BzBvYh"",""share"":50},{""address"":""EozHkXipaBVkXS5ciqvN5CUwWV5bmgLuHp1oeXdPVCvY"",""share"":25},{""address"":""4ZNYVD4xXVEdSSQHMgjAA4gYn5Y68x5xTJqeuqTCtgGF"",""share"":25}]"