"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.external_url","metaResult.attributes","metaResult.properties.creators"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#6777","[100]","SolPunks","https://arweave.net/7M91G_gGFXtMqrfc8W4DjhsMqaieLwIIJzg_coWZyJM","[1]",true,"AXVAvCZAEGdNzJQd4S6jPaTQuDnJBVCUbnUE8geR2Lc1",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/AXVAvCZAEGdNzJQd4S6jPaTQuDnJBVCUbnUE8geR2Lc1","SolPunk #6777","","SolPunk #6777 - Female",500,"https://arweave.net/DEADlnmmNNZGUdQ5i84SofhRXvr7XStIVzmIMzq3dlE","https://solpunks.com","[{""trait_type"":""Rank"",""value"":8258},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Clown Eyes Green""},{""trait_type"":""Attribute 2"",""value"":""Wild Hair""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#2799","[100]","SolPunks","https://arweave.net/NT58MX1DoFAZKbz7j46T0lNj7h8iRz-zmQ35ZJWxL7U","[1]",true,"AQEsuact7FPom2oQ4sHsBj8YFYPjtMbe64FHWdbhMC7j",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/AQEsuact7FPom2oQ4sHsBj8YFYPjtMbe64FHWdbhMC7j","SolPunk #2799","","SolPunk #2799 - Female",500,"https://arweave.net/hRxw4sh9Vg22HZYsDiV32HY-3oyg-LZluW2BF-x7xHc","https://solpunks.com","[{""trait_type"":""Rank"",""value"":9429},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Wild Hair""},{""trait_type"":""Attribute 2"",""value"":""Horned Rim Glasses""},{""trait_type"":""Attribute 3"",""value"":""Earring""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#5970","[100]","SolPunks","https://arweave.net/W3Qu_V3GfRmCYSePphQqVhWeePMMCx965hAC9htQYOs","[1]",true,"BaUMyZ1F8sHr9ySRSr5V4Zbo2C3EYS9KpAmi2XDX7wA",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/BaUMyZ1F8sHr9ySRSr5V4Zbo2C3EYS9KpAmi2XDX7wA","SolPunk #5970","","SolPunk #5970 - Male",500,"https://arweave.net/gFLuzp2lg90cG47bHGxBDY-5fInW6p7ROSjV-eoXlys","https://solpunks.com","[{""trait_type"":""Rank"",""value"":1431},{""trait_type"":""Skin"",""value"":""Light""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Cowboy Hat""},{""trait_type"":""Attribute 2"",""value"":""Handlebars""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#1487","[100]","SolPunks","https://arweave.net/9N-RYAUYWJsFp7jZ6C0ieuKmvvFReseVFEzPjuII77E","[1]",true,"HuGRUDyTF8H3VLv2zzKyLh4D2wQZmnZfdTg6QMEqaAVW",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/HuGRUDyTF8H3VLv2zzKyLh4D2wQZmnZfdTg6QMEqaAVW","SolPunk #1487","","SolPunk #1487 - Female",500,"https://arweave.net/QE2MTWo6oXLAOr7tbj3-PVeed1-FhzPGNfeyYXKJXuA","https://solpunks.com","[{""trait_type"":""Rank"",""value"":9348},{""trait_type"":""Skin"",""value"":""Mid""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Frumpy Hair""},{""trait_type"":""Attribute 2"",""value"":""Black Lipstick""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#5468","[100]","SolPunks","https://arweave.net/CR4dEdXUcXVUmqrJ3omevFRjEl41jkkbDb689F8_1S8","[1]",true,"EEGYGdYkqCBQpf2LLQs1tkF3HY83fmgRhYr71mV7rxTH",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/EEGYGdYkqCBQpf2LLQs1tkF3HY83fmgRhYr71mV7rxTH","SolPunk #5468","","SolPunk #5468 - Female",500,"https://arweave.net/SJtWSo7IkDTlkZqULO1tu2Yh2p7pHZn1BQz79NfnKAE","https://solpunks.com","[{""trait_type"":""Rank"",""value"":8497},{""trait_type"":""Skin"",""value"":""Light""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Clown Eyes Blue""},{""trait_type"":""Attribute 2"",""value"":""Wild Hair""},{""trait_type"":""Attribute 3"",""value"":""Purple Lipstick""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#7276","[100]","SolPunks","https://arweave.net/pHGm-ofRq9-ONJpeo5pbsBh8vPWBEGqHChItNL8qjIc","[1]",true,"DFM4KD2qi1G5gkm8CKtr2y6yu2FX2daEpm18SsEVLAFu",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/DFM4KD2qi1G5gkm8CKtr2y6yu2FX2daEpm18SsEVLAFu","SolPunk #7276","","SolPunk #7276 - Male",500,"https://arweave.net/X4HxumF8bxV1k4soqZagPm6mWAUQcx3JlSOZyDLunfs","https://solpunks.com","[{""trait_type"":""Rank"",""value"":9567},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Messy Hair""},{""trait_type"":""Attribute 2"",""value"":""Mole""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#9033","[100]","SolPunks","https://arweave.net/-4mp96R24VRNqZmK3OzYXOdxn_UnNgt6LOYhBbcFzDE","[1]",true,"CeJwz53FNqwC2omohf2ajckt3WiAJXZ1nBVk7Tc5kwJq",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/CeJwz53FNqwC2omohf2ajckt3WiAJXZ1nBVk7Tc5kwJq","SolPunk #9033","","SolPunk #9033 - Male",500,"https://arweave.net/yKifB2sotd6o3h2UByV6H9QuaGjHSWc53eYaErJJysY","https://solpunks.com","[{""trait_type"":""Rank"",""value"":9559},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Eye Patch""},{""trait_type"":""Attribute 2"",""value"":""Stringy Hair""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#5946","[100]","SolPunks","https://arweave.net/l4jHAgoff0K-AQT7iE7x2TkpD5TXp1cNGhINqsdvvYw","[1]",true,"EFpmDHdvAHt5fburzoQzbXDacHdHphQUngkpZr1whbfD",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/EFpmDHdvAHt5fburzoQzbXDacHdHphQUngkpZr1whbfD","SolPunk #5946","","SolPunk #5946 - Male",500,"https://arweave.net/MMCvbyw1-GmfpJxmQoeWO5bRkTxMgsOzW0sI9B8CQEU","https://solpunks.com","[{""trait_type"":""Rank"",""value"":6277},{""trait_type"":""Skin"",""value"":""Mid""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Luxurious Beard""},{""trait_type"":""Attribute 2"",""value"":""Small Shades""},{""trait_type"":""Attribute 3"",""value"":""Messy Hair""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#4237","[100]","SolPunks","https://arweave.net/vVoGhw95dvMpeeS2dokKrr8wgEsj7g2KIDSRwmHGqeI","[1]",true,"6TQQvY31etyV52wDBcPnz4ShYDVz6S4Pn6Fcgfgk5Bjn",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/6TQQvY31etyV52wDBcPnz4ShYDVz6S4Pn6Fcgfgk5Bjn","SolPunk #4237","","SolPunk #4237 - Female",500,"https://arweave.net/JsA6q68h2_U_vvNiOXeAg-HXv1PZ6b0l-L_eh1Jff7I","https://solpunks.com","[{""trait_type"":""Rank"",""value"":584},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Pigtails""},{""trait_type"":""Attribute 2"",""value"":""Green Eye Shadow""},{""trait_type"":""Attribute 3"",""value"":""Purple Lipstick""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#5430","[100]","SolPunks","https://arweave.net/WPbJLB9IBqN3e1DPJLYQCAiWLyT81Sg9PEbxJwXk6Tw","[1]",true,"TL6AAiJvhXjyR3JoUuQDvSSm2xZLyiUWYP6TPVUBrT5",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/TL6AAiJvhXjyR3JoUuQDvSSm2xZLyiUWYP6TPVUBrT5","SolPunk #5430","","SolPunk #5430 - Male",500,"https://arweave.net/7hoUAb4N1nptZzhsZKQ7YXiTiEbLYgxFX0mpALJJXqs","https://solpunks.com","[{""trait_type"":""Rank"",""value"":987},{""trait_type"":""Skin"",""value"":""Dark""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Spots""},{""trait_type"":""Attribute 2"",""value"":""Luxurious Beard""},{""trait_type"":""Attribute 3"",""value"":""Earring""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#3144","[100]","SolPunks","https://arweave.net/SA4I4vsZaP4gvMWpHzpMG0UL0qYg4SwaXydNum9OPcU","[1]",true,"HCsTiqSxCCV5TBKawwYffAFNMF1WdUqdPbnooXg7RrJR",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/HCsTiqSxCCV5TBKawwYffAFNMF1WdUqdPbnooXg7RrJR","SolPunk #3144","","SolPunk #3144 - Male",500,"https://arweave.net/O1rVqvaaUb0DuoG_3ZXvUG0ky-C72a6ek2osB5546ZA","https://solpunks.com","[{""trait_type"":""Rank"",""value"":1457},{""trait_type"":""Skin"",""value"":""Dark""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Cowboy Hat""},{""trait_type"":""Attribute 2"",""value"":""Normal Beard Black""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW""]","TENJIN #4814","[100]","","https://arweave.net/NChKDTOAb5C29yRy5Gr5QnatH-hlabGUE59bgHvJiRQ","[1]",true,"FNrAsmo2nYryR5hDw2RaTpEt4g4WGpH1GeUYREeLFtCz",true,"E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW","https://explorer.solana.com/address/FNrAsmo2nYryR5hDw2RaTpEt4g4WGpH1GeUYREeLFtCz","TENJIN #4814","","Project Tenjin by AVTR Studios",1500,"https://arweave.net/r_z6r14rqnulVhN6yN_JqLy-3dgjneQHKOCwaNklNWI","https://www.projecttenjin.io/","[{""trait_type"":""Faction"",""value"":""Tenjin""}]","[{""address"":""CKHm3mnYsUhncMMNuX5HzcPZjQgBC6EMsUumdr2Voup9"",""share"":10},{""address"":""z5r4HQ7af3nk1aVjtNuaUBvczieqo83bcDYAKJUxG4A"",""share"":90}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#2032","[100]","SolPunks","https://arweave.net/QQn243Ez5YUoJ1EBysOKI070-7Z_87oaJQ8HNx_giY4","[1]",true,"F8rWHy7kTA8J3j2LKxk6HRF8inZZNxTwkKHSLrDW7o3Q",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/F8rWHy7kTA8J3j2LKxk6HRF8inZZNxTwkKHSLrDW7o3Q","SolPunk #2032","","SolPunk #2032 - Male",500,"https://arweave.net/EdAxuluWOpYFpzfDirrPzKgVd2gZQ02rjKJojaDvm78","https://solpunks.com","[{""trait_type"":""Rank"",""value"":5087},{""trait_type"":""Skin"",""value"":""Light""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Frown""},{""trait_type"":""Attribute 2"",""value"":""Frumpy Hair""},{""trait_type"":""Attribute 3"",""value"":""Shadow Beard""},{""trait_type"":""Attribute 4"",""value"":""Earring""},{""trait_type"":""Attribute Count"",""value"":4}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#3301","[100]","SolPunks","https://arweave.net/EyJksZt6oT19Q7odpdGJPELzAF8pDWXOdTMJ_ojkDoo","[1]",true,"6o8ctvYUF5U7sCBDebLWPd2kgqLX5SKr4vdrUzdHzjJc",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/6o8ctvYUF5U7sCBDebLWPd2kgqLX5SKr4vdrUzdHzjJc","SolPunk #3301","","SolPunk #3301 - Female",500,"https://arweave.net/lmrJ5ZltGoGxIX2ZL5bOCfVx1_MWsXXd0D2Zu3IGc0o","https://solpunks.com","[{""trait_type"":""Rank"",""value"":2396},{""trait_type"":""Skin"",""value"":""Mid""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Half Shaved""},{""trait_type"":""Attribute 2"",""value"":""Nerd Glasses""},{""trait_type"":""Attribute 3"",""value"":""Hot Lipstick""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#7572","[100]","SolPunks","https://arweave.net/3rpUkEedkUAcJukLi-3awasDZVkcFWY1FkJdpk-8TXw","[1]",true,"Cj8p6PKEokMyanQcS2K2sffYbkR5XboVaEYfz11EgC2n",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/Cj8p6PKEokMyanQcS2K2sffYbkR5XboVaEYfz11EgC2n","SolPunk #7572","","SolPunk #7572 - Male",500,"https://arweave.net/EN0NZgtk60U00bki8fhW4O9VNQrEJi8OMNEgoM8g1ho","https://solpunks.com","[{""trait_type"":""Rank"",""value"":4000},{""trait_type"":""Skin"",""value"":""Light""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Police Cap""},{""trait_type"":""Attribute 2"",""value"":""Shadow Beard""},{""trait_type"":""Attribute 3"",""value"":""Regular Shades""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#1854","[100]","SolPunks","https://arweave.net/rI7xuKiNgRrgiwO4uoc4mdxmS6EMt3ZF-e-PgtPy7zU","[1]",true,"GVzEcyWjBXqhzanh3SMwvcjrRDiYT9w5NDumUa1kjEm1",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/GVzEcyWjBXqhzanh3SMwvcjrRDiYT9w5NDumUa1kjEm1","SolPunk #1854","","SolPunk #1854 - Female",500,"https://arweave.net/XDkyCWRQtRZ0-5-ZajIoozm83047klTAcpk-EQ0rkQQ","https://solpunks.com","[{""trait_type"":""Rank"",""value"":492},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Welding Goggles""},{""trait_type"":""Attribute 2"",""value"":""Blonde Short""},{""trait_type"":""Attribute 3"",""value"":""Hot Lipstick""},{""trait_type"":""Attribute 4"",""value"":""Earring""},{""trait_type"":""Attribute Count"",""value"":4}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#4769","[100]","SolPunks","https://arweave.net/z20spqcnNV744oSOOQ8MA31aBG5HwskAwAH3ti58yCA","[1]",true,"32vxwbvhTCe4D2i8sje3nFFepNjxMRnJY6t3BKJn1ZER",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/32vxwbvhTCe4D2i8sje3nFFepNjxMRnJY6t3BKJn1ZER","SolPunk #4769","","SolPunk #4769 - Female",500,"https://arweave.net/txNCUDcCD0PX67IzuBQvDjy28NwmVgBnovlI62h7Sf8","https://solpunks.com","[{""trait_type"":""Rank"",""value"":691},{""trait_type"":""Skin"",""value"":""Mid""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Pink With Hat""},{""trait_type"":""Attribute 2"",""value"":""Vape""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""5FidBahD5NUygz19BFaaLFPp9t9wYc8aadwVupgcfPsF"",""H5YiwH4r5phTxWLqMqma2ANTCBE9u8nCTKN2fReSvJxr"",""mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM""]","The Metanoids #651","[0,90,10]","TMN","https://arweave.net/0tCls7o_K_DPjJnI6EVZQr-IrGZ5cld8sl9zOoQtnAI","[1,0,0]",true,"2VZ3rw7MJwwPifFr5PchVWCE7sgdnZYeU9NYmzPq5S8N",true,"5FidBahD5NUygz19BFaaLFPp9t9wYc8aadwVupgcfPsF","https://explorer.solana.com/address/2VZ3rw7MJwwPifFr5PchVWCE7sgdnZYeU9NYmzPq5S8N","The Metanoids#651","TMTN","Cyborgs created in the age of the Cold War. Back to save the Metaverse.",600,"https://arweave.net/5ndDTi4h_NwjcNzksG3OcjZaOXUU3kWa8pW--I32PoA","https://www.themetanoids.io","[{""trait_type"":""Background"",""value"":""Light W""},{""trait_type"":""Weapon"",""value"":""Jetpack""},{""trait_type"":""Body"",""value"":""Killer Queen Requiem""},{""trait_type"":""Top"",""value"":""Transparent Shirt Green""}]","[{""address"":""H5YiwH4r5phTxWLqMqma2ANTCBE9u8nCTKN2fReSvJxr"",""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#6365","[100]","SolPunks","https://arweave.net/iTB3U-_qlut9H_2zIUBeECrxrpwkVBxhqnxge1GV48k","[1]",true,"A882UntKxtu8DHTYy7PVD69hzDC53ZzUsbPqSC1YW4o3",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/A882UntKxtu8DHTYy7PVD69hzDC53ZzUsbPqSC1YW4o3","SolPunk #6365","","SolPunk #6365 - Female",500,"https://arweave.net/Vnrq9uZdxCG-U3C093Wf7Qxe7d-0vIE3uVNXFZixIfA","https://solpunks.com","[{""trait_type"":""Rank"",""value"":2748},{""trait_type"":""Skin"",""value"":""Dark""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Straight Hair""},{""trait_type"":""Attribute 2"",""value"":""Clown Nose""},{""trait_type"":""Attribute 3"",""value"":""Clown Eyes Green""},{""trait_type"":""Attribute 4"",""value"":""Purple Lipstick""},{""trait_type"":""Attribute Count"",""value"":4}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#5047","[100]","SolPunks","https://arweave.net/Bcw_1Vu5jxnPf4Eqb87WUJ4vmFQ20d7V6kaS1mj0-YA","[1]",true,"4JHBced9YCYo7yguiJmj6HFZn7tFgwJTK7DnBBJTS3Vm",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/4JHBced9YCYo7yguiJmj6HFZn7tFgwJTK7DnBBJTS3Vm","SolPunk #5047","","SolPunk #5047 - Male",500,"https://arweave.net/ogy9clR1o_XvWB759kGMrB1QdYo102WaZLRBGT-nCHE","https://solpunks.com","[{""trait_type"":""Rank"",""value"":1072},{""trait_type"":""Skin"",""value"":""Dark""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Rosy Cheeks""},{""trait_type"":""Attribute 2"",""value"":""Police Cap""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
